,g_true,mv,em,gf
17,0.5,0.5971436507936504,0.6248635712091348,0.6688581555386743
18,0.6,0.6312611111111112,0.6823517907714155,0.7003846298153269
19,0.6,0.6188285714285712,0.6635800823230277,0.6947140345762255
20,0.6,0.6072952380952387,0.6442869372519608,0.6770632395658103
21,0.7,0.6560650793650794,0.7255123783530669,0.7467170466459192
22,0.7,0.6413738095238096,0.6935864092416167,0.7159792024383794
23,0.7,0.6327357142857148,0.6788854158018024,0.6984621295041303
24,0.8,0.6538238095238096,0.715173584536672,0.7244049347638535
25,0.8,0.6723928571428576,0.7558737379850008,0.7538964365729874
26,0.8,0.6574571428571427,0.7327893818577041,0.732294326223262
27,0.9,0.6663698412698414,0.7473426193198673,0.7407209109680145
28,0.9,0.6627841269841266,0.7435132408569007,0.742750743996489
29,0.9,0.67321507936508,0.7454003275599305,0.7713198061385512
30,1.0,0.704973809523809,0.8151477831053906,0.7732206179902085
31,1.0,0.6861833333333335,0.7751584235242837,0.7618569041515504
32,1.0,0.7002230158730162,0.8056531988644094,0.7877407629540711
